Fh [kN],u [mm]
32.75,0.749708406
33,0.765776704
33.43,0.777442991
33.62,0.790961369
34.13,0.80815477
34.34,0.829108145
34.74,0.839607878
35,0.857727996
35.38,0.868409773
35.75,0.891548526
36.11,0.907169355
36.42,0.921218115
36.68,0.938560434
36.79,0.943130533
36.32,0.941313359
34.32,0.935765633
34,0.929208558
30.58,0.892353572
27.89,0.846564005
25.37,0.800992127
22.92,0.755369236
20.62,0.719367423
18.45,0.679344185
16.25,0.628176459
14.17,0.587353469
12.18,0.547664779
10.22,0.509720944
8.444,0.469592783
6.667,0.42564808
5.131,0.386498835
3.545,0.348602184
2.123,0.313905025
0.7784,0.277876941
-0.4391,0.252187493
-1.393,0.216300792
-2.445,0.189069388
-3.403,0.156911584
-4.381,0.142907008
-5.652,0.107549069
-6.916,0.069095819
-8.235,0.033368757
-9.478,-0.004736788
-10.73,-0.04083288
-11.98,-0.089242133
-13.17,-0.126865099
-14.19,-0.168316411
-15.21,-0.206456231
-16.04,-0.245691416
-16.98,-0.292659286
-17.79,-0.324757292
-18.63,-0.368642024
-19.29,-0.418198775
-19.78,-0.456282529
-20.44,-0.507812874
-21.19,-0.546455309
-21.71,-0.591427981
-22.07,-0.628851423
-22.48,-0.677223735
-22.85,-0.724451924
-23.36,-0.761455997
-23.71,-0.8037202
-24.06,-0.846727767
-24.5,-0.896201464
-24.94,-0.941383028
-25.28,-0.983451621
-25.59,-1.027228177
-25.97,-1.074191263
-26.36,-1.114444087
-26.75,-1.154541369
-27.13,-1.191409253
-27.45,-1.237744096
-27.74,-1.283840883
-28.07,-1.324602656
-28.43,-1.37182799
-28.75,-1.42120974
-29.08,-1.464202262
-29.43,-1.503538657
-29.77,-1.546249633
-30.1,-1.583530186
-30.46,-1.637052354
-30.81,-1.674691259
-31.18,-1.726522872
-31.54,-1.764754444
-31.89,-1.81711299
-32.22,-1.855877259
-32.55,-1.898717245
