image_names,u [mm],Fh [kN]
LS09_to_LS10_RS3_0050,0.671871337,31.31
LS09_to_LS10_RS3_0051,0.702300418,32.51
LS09_to_LS10_RS3_0052,0.743368466,33.7
LS09_to_LS10_RS3_0053,0.777834153,34.87
LS09_to_LS10_RS3_0054,0.812248157,35.94
LS09_to_LS10_RS3_0055,0.849298829,36.95
LS09_to_LS10_RS3_0056,0.896402174,37.87
LS09_to_LS10_RS3_0057,0.929088573,38.81
LS09_to_LS10_RS3_0058,0.971047622,39.69
LS09_to_LS10_RS3_0059,1.014289541,40.51
LS09_to_LS10_RS3_0060,1.05038626,41.28
LS09_to_LS10_RS3_0061,1.098797987,42.01
LS09_to_LS10_RS3_0062,1.142257938,42.65
LS09_to_LS10_RS3_0063,1.187445984,43.28
LS09_to_LS10_RS3_0064,1.238206881,43.91
LS09_to_LS10_RS3_0065,1.284468084,44.44
LS09_to_LS10_RS3_0066,1.326281097,45.1
LS09_to_LS10_RS3_0067,1.371363125,45.59
LS09_to_LS10_RS3_0068,1.416202452,46.11
LS09_to_LS10_RS3_0069,1.468475737,46.71
LS09_to_LS10_RS3_0070,1.51523453,47.12
LS09_to_LS10_RS3_0071,1.566593818,47.57
LS09_to_LS10_RS3_0072,1.604496295,48.03
LS09_to_LS10_RS3_0073,1.65731091,48.42
LS09_to_LS10_RS3_0074,1.693839178,48.8
LS10_to_LS11_RS3_0001,1.726038093,44.59
LS10_to_LS11_RS3_0002,1.686280496,42.42
LS10_to_LS11_RS3_0003,1.655570635,40.34
LS10_to_LS11_RS3_0004,1.623065818,38.43
LS10_to_LS11_RS3_0005,1.579700056,36.68
LS10_to_LS11_RS3_0006,1.542933057,34.93
LS10_to_LS11_RS3_0007,1.512848127,33.33
LS10_to_LS11_RS3_0008,1.477369915,31.75
LS10_to_LS11_RS3_0009,1.433785943,30.57
LS10_to_LS11_RS3_0010,1.403641054,28.77
LS10_to_LS11_RS3_0011,1.366477663,27.6
LS10_to_LS11_RS3_0012,1.330035085,25.85
LS10_to_LS11_RS3_0013,1.296703283,24.45
LS10_to_LS11_RS3_0014,1.258813666,23.1
LS10_to_LS11_RS3_0015,1.22709612,22.03
LS10_to_LS11_RS3_0016,1.195367879,20.4
LS10_to_LS11_RS3_0017,1.155148361,19.41
LS10_to_LS11_RS3_0018,1.120204749,17.9
LS10_to_LS11_RS3_0019,1.085058886,16.83
LS10_to_LS11_RS3_0020,1.044159902,15.35
LS10_to_LS11_RS3_0021,1.016199376,14.12
LS10_to_LS11_RS3_0022,0.973689237,12.89
LS10_to_LS11_RS3_0023,0.944536072,11.71
LS10_to_LS11_RS3_0024,0.916324523,10.57
LS10_to_LS11_RS3_0025,0.882352068,9.671
LS10_to_LS11_RS3_0026,0.852351696,8.544
LS10_to_LS11_RS3_0027,0.820558405,7.148
LS10_to_LS11_RS3_0028,0.788755343,5.912
LS10_to_LS11_RS3_0029,0.752714684,4.915
LS10_to_LS11_RS3_0030,0.719226415,3.464
